attestation_id,session_id,Matnr,Werks,quantity,condition,fault_category,repairable,reason,user,timestamp,evidence_reference
ATT-000001,SESS-000743,000000000080000000,3000,1.000,"Shaft journal grooved, runout beyond limit",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-01,EVD-000001
ATT-000002,SESS-000744,000000000080000001,1000,1.000,"Outer race spalling, radial play beyond limit",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-03-20,EVD-000002
ATT-000003,SESS-000745,000000000080000001,4000,1.000,"Seal faces scored, leaking under load",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-09,EVD-000003
ATT-000004,SESS-000746,000000000080000002,3000,1.000,"Impeller vanes eroded, 30 percent material loss",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-24,EVD-000004
ATT-000005,SESS-000748,000000000080000004,2000,1.000,"Impeller vanes eroded, 30 percent material loss",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-29,EVD-000005
ATT-000006,SESS-000749,000000000080000005,4000,1.000,Stator winding insulation resistance failed at 500V,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-03,EVD-000006
ATT-000007,SESS-000750,000000000080000005,2000,1.000,"Impeller vanes eroded, 30 percent material loss",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-27,EVD-000007
ATT-000008,SESS-000751,000000000080000006,2000,1.000,"Seal faces scored, leaking under load",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-11,EVD-000008
ATT-000009,SESS-000752,000000000080000007,1000,1.000,"Outer race spalling, radial play beyond limit",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-05-10,EVD-000009
ATT-000010,SESS-000753,000000000080000009,1000,1.000,"Impeller vanes eroded, 30 percent material loss",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-07-18,EVD-000010
ATT-000011,SESS-000754,000000000080000009,4000,1.000,"Outer race spalling, radial play beyond limit",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-27,EVD-000011
ATT-000012,SESS-000755,000000000080000010,3000,1.000,Casing wear through at discharge throat,GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-17,EVD-000012
ATT-000013,SESS-000756,000000000080000011,2000,1.000,"Input pinion tooth chipping, backlash high",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2025-12-29,EVD-000013
ATT-000014,SESS-000760,000000000080000016,1000,1.000,"Shaft journal grooved, runout beyond limit",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-20,EVD-000014
ATT-000015,SESS-000763,000000000080000017,3000,1.000,"Shaft journal grooved, runout beyond limit",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-13,EVD-000015
ATT-000016,SESS-000764,000000000080000018,4000,1.000,Stator winding insulation resistance failed at 500V,WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-03-14,EVD-000016
ATT-000017,SESS-000765,000000000080000018,3000,1.000,"Input pinion tooth chipping, backlash high",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-06-21,EVD-000017
ATT-000018,SESS-000768,000000000080000020,1000,1.000,Casing wear through at discharge throat,BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-04-25,EVD-000018
ATT-000019,SESS-000771,000000000080000022,3000,1.000,"Impeller vanes eroded, 30 percent material loss",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-29,EVD-000019
ATT-000020,SESS-000776,000000000080000026,2000,1.000,Stator winding insulation resistance failed at 500V,GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-09,EVD-000020
ATT-000021,SESS-000777,000000000080000027,1000,1.000,"Shaft journal grooved, runout beyond limit",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-02-23,EVD-000021
ATT-000022,SESS-000779,000000000080000030,1000,1.000,"Input pinion tooth chipping, backlash high",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-20,EVD-000022
ATT-000023,SESS-000780,000000000080000031,1000,1.000,"Impeller vanes eroded, 30 percent material loss",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-26,EVD-000023
ATT-000024,SESS-000782,000000000080000033,4000,1.000,"Seal faces scored, leaking under load",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-04,EVD-000024
ATT-000025,SESS-000784,000000000080000035,4000,1.000,"Shaft journal grooved, runout beyond limit",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-05-15,EVD-000025
ATT-000026,SESS-000785,000000000080000035,2000,1.000,"Input pinion tooth chipping, backlash high",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2025-10-18,EVD-000026
ATT-000027,SESS-000786,000000000080000036,3000,1.000,Stator winding insulation resistance failed at 500V,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-25,EVD-000027
ATT-000028,SESS-000787,000000000080000037,2000,1.000,"Shaft journal grooved, runout beyond limit",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-06-11,EVD-000028
ATT-000029,SESS-000791,000000000080000039,4000,1.000,"Outer race spalling, radial play beyond limit",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-04-26,EVD-000029
ATT-000030,SESS-000792,000000000080000040,1000,1.000,"Seal faces scored, leaking under load",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-05-25,EVD-000030
ATT-000031,SESS-000793,000000000080000041,1000,1.000,"Impeller vanes eroded, 30 percent material loss",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-05-22,EVD-000031
ATT-000032,SESS-000794,000000000080000041,4000,1.000,"Seal faces scored, leaking under load",WEAR,true,Economically repairable; vendor repair recommended.,VZIATT02,2025-11-29,EVD-000032
ATT-000033,SESS-000796,000000000080000043,4000,1.000,"Shaft journal grooved, runout beyond limit",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-07-04,EVD-000033
ATT-000034,SESS-000797,000000000080000044,1000,1.000,Casing wear through at discharge throat,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-27,EVD-000034
ATT-000035,SESS-000798,000000000080000045,4000,1.000,"Seal faces scored, leaking under load",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-06,EVD-000035
ATT-000036,SESS-000799,000000000080000046,4000,1.000,"Input pinion tooth chipping, backlash high",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-07-19,EVD-000036
ATT-000037,SESS-000800,000000000080000047,2000,1.000,"Shaft journal grooved, runout beyond limit",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-05-20,EVD-000037
ATT-000038,SESS-000802,000000000080000049,4000,1.000,"Shaft journal grooved, runout beyond limit",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-05-26,EVD-000038
ATT-000039,SESS-000803,000000000080000050,2000,1.000,"Impeller vanes eroded, 30 percent material loss",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-07-27,EVD-000039
ATT-000040,SESS-000804,000000000080000051,4000,1.000,Casing wear through at discharge throat,IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-03-22,EVD-000040
ATT-000041,SESS-000805,000000000080000052,3000,1.000,"Impeller vanes eroded, 30 percent material loss",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-15,EVD-000041
ATT-000042,SESS-000806,000000000080000053,1000,1.000,"Shaft journal grooved, runout beyond limit",GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-16,EVD-000042
ATT-000043,SESS-000807,000000000080000054,2000,1.000,"Seal faces scored, leaking under load",SHAFT_DAMAGE,true,Economically repairable; vendor repair recommended.,VZIATT01,2025-11-11,EVD-000043
ATT-000044,SESS-000809,000000000080000055,3000,1.000,"Impeller vanes eroded, 30 percent material loss",BEARING_FAILURE,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-02,EVD-000044
ATT-000045,SESS-000811,000000000080000057,1000,1.000,"Shaft journal grooved, runout beyond limit",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-09,EVD-000045
ATT-000046,SESS-000812,000000000080000058,2000,1.000,Casing wear through at discharge throat,WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-07-23,EVD-000046
ATT-000047,SESS-000813,000000000080000059,4000,1.000,"Input pinion tooth chipping, backlash high",IMPELLER_EROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-03-16,EVD-000047
ATT-000048,SESS-000814,000000000080000060,2000,1.000,"Outer race spalling, radial play beyond limit",CORROSION,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-08-20,EVD-000048
ATT-000049,SESS-000815,000000000080000060,3000,1.000,Stator winding insulation resistance failed at 500V,WEAR,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-06-06,EVD-000049
ATT-000050,SESS-000817,000000000080000062,1000,1.000,"Shaft journal grooved, runout beyond limit",SEAL_LEAK,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-03-30,EVD-000050
ATT-000051,SESS-000818,000000000080000063,1000,1.000,Casing wear through at discharge throat,GEARBOX_NOISE,true,Economically repairable; vendor repair recommended.,VZIATT02,2026-08-11,EVD-000051
ATT-000052,SESS-000819,000000000080000063,2000,1.000,"Impeller vanes eroded, 30 percent material loss",ELECTRICAL_FAULT,true,Economically repairable; vendor repair recommended.,VZIATT01,2026-01-22,EVD-000052
