recommendation_id,Matnr,Werks,material_description,criticality,demand_pattern,consumptions_12m,lead_time_days,current_rop,recommended_rop,current_safety_stock,recommended_safety_stock,current_max_stock,recommended_max_stock,recommendation_type,reason,status,created_on
REC-000001,000000000010000000,1000,Gearbox Bearing 55KW SKF,INSURANCE,REGULAR,10,58,36.087,54.900,6.202,9.400,152.999,126.500,ROP_MAX_SAFETY_STOCK,Regular consumption of 23.9 per month over 24 months with a 58-day lead time gives a reorder point of 54.9 against the current 36.087.,APPROVED,2026-08-27
REC-000002,000000000010000001,1000,Mill Liner 200MM SKF,NORMAL,REGULAR,10,33,12.408,21.900,2.532,4.500,117.512,70.000,ROP_MAX_SAFETY_STOCK,Regular consumption of 16.0 per month over 24 months with a 33-day lead time gives a reorder point of 21.9 against the current 12.408.,APPROVED,2026-08-26
REC-000003,000000000010000001,2000,Mill Liner 200MM SKF,NORMAL,REGULAR,12,33,41.138,29.700,8.855,6.400,129.327,94.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 26 is below the current reorder point 41.138. At the NORMAL service level of 85% and a 33-day lead time, the reorder point should be 29.7.",APPROVED,2026-07-04
REC-000004,000000000080000000,3000,Thickener Rake Seal Kit DN150 METSO,CRITICAL,INTERMITTENT,3,125,10.638,14.500,5.882,8.000,16.954,19.200,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.6 per month over 24 months with a 125-day lead time gives a reorder point of 14.5 against the current 10.638.,PROPOSED,2026-08-20
REC-000005,000000000010000002,4000,PLC Digital Output Card TYPE B SKF,IMPACT,INTERMITTENT,5,17,3.698,2.800,2.676,2.000,7.342,6.900,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.4 per month over 24 months with a 17-day lead time gives a reorder point of 2.8 against the current 3.698.,PROPOSED,2026-05-19
REC-000006,000000000010000002,2000,PLC Digital Output Card TYPE B SKF,IMPACT,INTERMITTENT,4,17,5.226,2.900,3.902,2.200,9.524,6.900,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 1.3 per month over 24 months with a 17-day lead time gives a reorder point of 2.9 against the current 5.226.,APPROVED,2026-06-03
REC-000007,000000000080000001,1000,Level Radar Transmitter DN100 FLSM,NORMAL,INTERMITTENT,3,49,9.258,8.600,4.563,4.200,19.717,16.700,ROP_MAX_SAFETY_STOCK,"Stock on hand 5 is below the current reorder point 9.258. At the NORMAL service level of 85% and a 49-day lead time, the reorder point should be 8.6.",PROPOSED,2026-08-27
REC-000008,000000000080000001,4000,Level Radar Transmitter DN100 FLSM,NORMAL,INTERMITTENT,2,49,7.884,5.500,4.299,3.000,10.728,10.100,ROP_MAX_SAFETY_STOCK,Stock on hand 11 exceeds the current maximum 10.728. Consumption of 1.5 per month supports a maximum of 10.1.,APPROVED,2026-06-04
REC-000009,000000000010000004,3000,Thickener Rake Drive Gearbox TYPE B,NORMAL,REGULAR,11,19,45.337,33.300,11.211,8.200,133.338,153.800,ROP_MAX_SAFETY_STOCK,Regular consumption of 40.2 per month over 24 months with a 19-day lead time gives a reorder point of 33.3 against the current 45.337.,HELD,2026-08-06
REC-000010,000000000010000005,1000,Crusher Hydroset Cylinder TYPE B SANDVIK,CRITICAL,REGULAR,12,87,123.573,94.600,30.978,23.700,287.080,169.000,ROP_MAX_SAFETY_STOCK,"Stock on hand 75 is below the current reorder point 123.573. At the CRITICAL service level of 98% and a 87-day lead time, the reorder point should be 94.6.",APPROVED,2026-07-11
REC-000011,000000000010000006,1000,Pressure Transmitter Assembly 10/8 METSO,INSURANCE,INTERMITTENT,6,208,4.956,9.100,1.845,3.400,10.146,11.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 3 is below the current reorder point 4.956. At the INSURANCE service level of 90% and a 208-day lead time, the reorder point should be 9.1.",PROPOSED,2026-06-24
