exception_id,exception_type,Matnr,Werks,object_reference,detected_on,owner,status,detail
EXC-000001,OVERDUE_USE,000000000030000003,1000,Rsnum 1000000010,2026-08-31,VZIINV02,AWAITING_REQUESTER,Received on 2026-05-13 against a planned use date of 2026-07-06; no goods issue after 14 days grace.
EXC-000002,OVERDUE_USE,000000000030000004,4000,Rsnum 1000000015,2026-09-04,VZIINV02,AWAITING_REQUESTER,Received on 2026-04-15 against a planned use date of 2026-07-24; no goods issue after 14 days grace.
EXC-000003,OVERDUE_USE,000000000030000005,3000,Rsnum 1000000016,2026-09-07,VZIINV02,AWAITING_REQUESTER,Received on 2025-12-05 against a planned use date of 2026-05-14; no goods issue after 14 days grace.
EXC-000004,OVERDUE_USE,000000000030000005,3000,Rsnum 1000000017,2026-09-01,VZIINV01,OPEN,Received on 2026-05-11 against a planned use date of 2026-06-08; no goods issue after 14 days grace.
EXC-000005,OVERDUE_USE,000000000030000006,2000,Rsnum 1000000018,2026-08-29,VZIINV01,OPEN,Received on 2026-07-13 against a planned use date of 2026-08-11; no goods issue after 14 days grace.
EXC-000006,OVERDUE_USE,000000000030000010,4000,Rsnum 1000000028,2026-09-04,VZIINV02,AWAITING_REQUESTER,Received on 2025-11-28 against a planned use date of 2026-08-12; no goods issue after 14 days grace.
EXC-000007,OVERDUE_USE,000000000030000011,1000,Rsnum 1000000029,2026-08-31,VZIINV02,OPEN,Received on 2026-05-05 against a planned use date of 2026-07-14; no goods issue after 14 days grace.
EXC-000008,OVERDUE_USE,000000000030000011,1000,Rsnum 1000000031,2026-09-02,VZIINV02,CLOSED,Received on 2026-07-19 against a planned use date of 2026-05-23; no goods issue after 14 days grace.
EXC-000009,NO_CONSUMPTION_PLAN,000000000030000014,1000,Rsnum 1000000040,2026-09-05,VZIINV02,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
EXC-000010,NO_CONSUMPTION_PLAN,000000000030000016,1000,Rsnum 1000000044,2026-08-30,VZIINV01,OPEN,"OAR reservation carries no assistant session identifier, so no consumption plan was captured."
