case_id,Matnr,Werks,repair_pr,repair_po,repair_po_item,session_id,attestation_id,stage,removed_on,expected_back_on,returned_on,overdue,vendor_turnaround_days,notes
RPR-000001,000000000080000000,3000,2000008540,4500008485,00010,SESS-000743,ATT-000001,BACK_IN_STOCK,2026-06-30,2026-08-19,2026-08-23,false,44,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000002,000000000080000001,1000,2000008541,4500008486,00010,SESS-000744,ATT-000002,BACK_IN_STOCK,2026-03-19,2026-06-13,2026-07-06,false,99,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000003,000000000080000001,4000,2000008542,4500008487,00010,SESS-000745,ATT-000003,IN_REPAIR,2026-08-07,2026-10-09,,false,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000004,000000000080000002,3000,2000008543,4500008488,00010,SESS-000746,ATT-000004,OVERDUE,2026-04-22,2026-06-11,,true,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000005,000000000080000003,4000,2000008544,4500008489,00010,SESS-000747,,EXPECTED_BACK,2026-07-05,2026-09-13,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000006,000000000080000004,2000,2000008545,4500008490,00010,SESS-000748,ATT-000005,OVERDUE,2026-04-28,2026-06-29,,true,,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000007,000000000080000005,4000,2000008546,4500008491,00010,SESS-000749,ATT-000006,IN_REPAIR,2026-07-31,2026-10-30,,false,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000008,000000000080000005,2000,2000008547,4500008492,00010,SESS-000750,ATT-000007,IN_REPAIR,2026-08-27,2026-09-26,,false,,Repair vendor Orange River Hydraulic Service Cent.
RPR-000009,000000000080000006,2000,2000008548,4500008493,00010,SESS-000751,ATT-000008,OVERDUE,2026-06-08,2026-08-25,,true,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000010,000000000080000007,1000,2000008549,4500008494,00010,SESS-000752,ATT-000009,RETURNED,2026-05-08,2026-07-20,2026-08-02,false,78,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000011,000000000080000009,1000,2000008550,4500008495,00010,SESS-000753,ATT-000010,EXPECTED_BACK,2026-07-15,2026-09-08,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000012,000000000080000009,4000,2000008551,4500008496,00010,SESS-000754,ATT-000011,EXPECTED_BACK,2026-06-26,2026-09-10,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000013,000000000080000010,3000,2000008552,4500008497,00010,SESS-000755,ATT-000012,BACK_IN_STOCK,2026-04-16,2026-05-25,2026-05-27,false,32,Repair vendor Orange River Hydraulic Service Cent.
RPR-000014,000000000080000011,2000,2000008553,4500008498,00010,SESS-000756,ATT-000013,BACK_IN_STOCK,2025-12-26,2026-03-14,2026-03-18,false,70,Repair vendor Springbok Mechanical Repair Works (.
RPR-000015,000000000080000012,3000,2000008554,4500008499,00010,SESS-000757,,RETURNED,2026-02-21,2026-05-06,2026-05-11,false,66,Repair vendor Aggeneys Rotating Equipment Service.
RPR-000016,000000000080000013,3000,,,,SESS-000758,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008500 while a repairable unit was on hand.
RPR-000017,000000000080000015,3000,2000008556,4500008501,00010,SESS-000759,,IN_REPAIR,2026-07-16,2026-10-02,,false,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000018,000000000080000016,1000,2000008557,4500008502,00010,SESS-000760,ATT-000014,EXPECTED_BACK,2026-07-18,2026-09-13,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000019,000000000080000016,2000,,,,SESS-000761,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008503 while a repairable unit was on hand.
RPR-000020,000000000080000017,2000,2000008559,4500008504,00010,SESS-000762,,IN_REPAIR,2026-08-26,2026-11-08,,false,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000021,000000000080000017,3000,2000008560,4500008505,00010,SESS-000763,ATT-000015,IN_REPAIR,2026-08-13,2026-11-03,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000022,000000000080000018,4000,2000008561,4500008506,00010,SESS-000764,ATT-000016,BACK_IN_STOCK,2026-03-13,2026-05-01,2026-05-15,false,56,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000023,000000000080000018,3000,2000008562,4500008507,00010,SESS-000765,ATT-000017,OVERDUE,2026-06-19,2026-08-19,,true,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000024,000000000080000019,2000,,,,SESS-000766,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008508 while a repairable unit was on hand.
RPR-000025,000000000080000020,3000,,,,SESS-000767,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008509 while a repairable unit was on hand.
RPR-000026,000000000080000020,1000,2000008565,4500008510,00010,SESS-000768,ATT-000018,BACK_IN_STOCK,2026-04-25,2026-06-09,2026-06-23,false,47,Repair vendor Kalahari Rotating Equipment Service.
RPR-000027,000000000080000021,2000,2000008566,4500008511,00010,SESS-000769,,OVERDUE,2026-04-23,2026-06-17,,true,,Repair vendor Namaqua Mechanical Repair Works (Pt.
RPR-000028,000000000080000021,3000,2000008567,4500008512,00010,SESS-000770,,BACK_IN_STOCK,2026-02-19,2026-05-03,2026-05-07,false,70,Repair vendor Springbok Hydraulic Service Centre .
RPR-000029,000000000080000022,3000,2000008568,4500008513,00010,SESS-000771,ATT-000019,EXPECTED_BACK,2026-06-29,2026-09-09,,false,,Repair vendor Springbok Mechanical Repair Works (.
RPR-000030,000000000080000023,3000,2000008569,4500008514,00010,SESS-000772,,EXPECTED_BACK,2026-06-28,2026-09-09,,false,,Repair vendor Orange River Hydraulic Service Cent.
RPR-000031,000000000080000024,2000,2000008570,4500008515,00010,SESS-000773,,BACK_IN_STOCK,2026-04-20,2026-06-03,2026-06-10,false,42,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000032,000000000080000025,3000,2000008571,4500008516,00010,SESS-000774,,EXPECTED_BACK,2026-07-23,2026-09-14,,false,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000033,000000000080000025,4000,2000008572,4500008517,00010,SESS-000775,,BACK_IN_STOCK,2026-01-02,2026-02-22,2026-02-28,false,48,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000034,000000000080000026,2000,2000008573,4500008518,00010,SESS-000776,ATT-000020,EXPECTED_BACK,2026-06-07,2026-09-11,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000035,000000000080000027,1000,2000008574,4500008519,00010,SESS-000777,ATT-000021,RETURNED,2026-02-23,2026-04-13,2026-04-22,false,52,Repair vendor Springbok Mechanical Repair Works (.
RPR-000036,000000000080000029,4000,2000008575,4500008520,00010,SESS-000778,,EXPECTED_BACK,2026-08-01,2026-09-07,,false,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000037,000000000080000030,1000,2000008576,4500008521,00010,SESS-000779,ATT-000022,RETURNED,2026-04-20,2026-06-09,2026-06-12,false,48,Repair vendor Orange River Gearbox Refurbishment .
RPR-000038,000000000080000031,1000,2000008577,4500008522,00010,SESS-000780,ATT-000023,IN_REPAIR,2026-08-25,2026-10-19,,false,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000039,000000000080000032,1000,,,,SESS-000781,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008523 while a repairable unit was on hand.
RPR-000040,000000000080000033,4000,2000008579,4500008524,00010,SESS-000782,ATT-000024,OVERDUE,2026-07-02,2026-08-10,,true,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000041,000000000080000034,1000,2000008580,4500008525,00010,SESS-000783,,OVERDUE,2026-05-21,2026-07-29,,true,,Repair vendor Springbok Rewind Services (Pty) Ltd.
RPR-000042,000000000080000035,4000,2000008581,4500008526,00010,SESS-000784,ATT-000025,BACK_IN_STOCK,2026-05-12,2026-08-12,2026-08-20,false,88,Repair vendor Gariep Hydraulic Service Centre (Pt.
RPR-000043,000000000080000035,2000,2000008582,4500008527,00010,SESS-000785,ATT-000026,RETURNED,2025-10-17,2026-01-19,2026-02-10,false,108,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000044,000000000080000036,3000,2000008583,4500008528,00010,SESS-000786,ATT-000027,IN_REPAIR,2026-08-25,2026-09-20,,false,,Repair vendor Prieska Mechanical Repair Works (Pt.
RPR-000045,000000000080000037,2000,2000008584,4500008529,00010,SESS-000787,ATT-000028,OVERDUE,2026-06-11,2026-08-18,,true,,Repair vendor Springbok Hydraulic Service Centre .
RPR-000046,000000000080000037,1000,2000008585,4500008530,00010,SESS-000788,,OVERDUE,2026-05-14,2026-08-01,,true,,Repair vendor Copperton Gearbox Refurbishment (Pt.
RPR-000047,000000000080000038,3000,,,,SESS-000789,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008531 while a repairable unit was on hand.
RPR-000048,000000000080000039,1000,,,,SESS-000790,,NEW_PURCHASE_INSTEAD,,,,false,,New purchase on 4500008532 while a repairable unit was on hand.
RPR-000049,000000000080000039,4000,2000008588,4500008533,00010,SESS-000791,ATT-000029,RETURNED,2026-04-24,2026-07-13,2026-08-01,false,90,Repair vendor Orange River Hydraulic Service Cent.
RPR-000050,000000000080000040,1000,2000008589,4500008534,00010,SESS-000792,ATT-000030,OVERDUE,2026-05-24,2026-07-03,,true,,Repair vendor Kalahari Rotating Equipment Service.
RPR-000051,000000000080000041,1000,2000008590,4500008535,00010,SESS-000793,ATT-000031,OVERDUE,2026-05-20,2026-07-03,,true,,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000052,000000000080000041,4000,2000008591,4500008536,00010,SESS-000794,ATT-000032,RETURNED,2025-11-26,2026-01-16,2026-01-21,false,49,Repair vendor Kalahari Rotating Equipment Service.
RPR-000053,000000000080000042,1000,2000008592,4500008537,00010,SESS-000795,,RETURNED,2025-10-28,2026-01-30,2026-02-16,false,103,Repair vendor Namaqua Hydraulic Service Centre (P.
RPR-000054,000000000080000043,4000,2000008593,4500008538,00010,SESS-000796,ATT-000033,EXPECTED_BACK,2026-07-02,2026-09-13,,false,,Repair vendor Orange River Gearbox Refurbishment .
