approval_id,recommendation_id,approver_role,approver_user,decision,decision_date,comment
APR-000001,REC-000001,Commercial Head,VZIINV01,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000002,REC-000002,Inventory Controller,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000003,REC-000003,Inventory Controller,VZIINV02,APPROVED,2026-07-12,Approved; to be applied in SAP by VZI.
APR-000004,REC-000006,Engineering Head,VZIINV01,APPROVED,2026-06-17,Approved; to be applied in SAP by VZI.
APR-000005,REC-000008,Inventory Controller,VZIINV02,APPROVED,2026-06-16,Approved; to be applied in SAP by VZI.
APR-000006,REC-000009,Inventory Controller,VZIINV02,HELD,2026-08-07,Held pending further consumption evidence.
APR-000007,REC-000010,Plant Head,VZIINV02,APPROVED,2026-07-13,Approved; to be applied in SAP by VZI.
APR-000008,REC-000012,Engineering Head,VZIINV02,APPROVED,2026-05-24,Approved; to be applied in SAP by VZI.
APR-000009,REC-000013,Engineering Head,VZIINV02,APPROVED,2026-06-22,Approved; to be applied in SAP by VZI.
APR-000010,REC-000014,Plant Head,VZIINV02,REJECTED,2026-09-05,Consumption not considered representative.
APR-000011,REC-000016,Engineering Head,VZIINV02,APPROVED,2026-08-31,Approved; to be applied in SAP by VZI.
APR-000012,REC-000018,Engineering Head,VZIINV01,HELD,2026-06-03,Held pending further consumption evidence.
APR-000013,REC-000019,Engineering Head,VZIINV02,REJECTED,2026-08-18,Consumption not considered representative.
APR-000014,REC-000020,Engineering Head,VZIINV01,REJECTED,2026-08-06,Consumption not considered representative.
APR-000015,REC-000021,Engineering Head,VZIINV02,REJECTED,2026-08-04,Consumption not considered representative.
APR-000016,REC-000022,Inventory Controller,VZIINV02,APPROVED,2026-05-31,Approved; to be applied in SAP by VZI.
APR-000017,REC-000024,Commercial Head,VZIINV02,APPROVED,2026-06-07,Approved; to be applied in SAP by VZI.
APR-000018,REC-000026,Engineering Head,VZIINV02,APPROVED,2026-06-15,Approved; to be applied in SAP by VZI.
APR-000019,REC-000027,Engineering Head,VZIINV01,APPROVED,2026-06-08,Approved; to be applied in SAP by VZI.
APR-000020,REC-000028,Plant Head,VZIINV01,APPROVED,2026-08-01,Approved; to be applied in SAP by VZI.
APR-000021,REC-000029,Engineering Head,VZIINV01,APPROVED,2026-06-15,Approved; to be applied in SAP by VZI.
APR-000022,REC-000030,Inventory Controller,VZIINV02,APPROVED,2026-09-03,Approved; to be applied in SAP by VZI.
APR-000023,REC-000031,Engineering Head,VZIINV02,APPROVED,2026-07-24,Approved; to be applied in SAP by VZI.
APR-000024,REC-000032,Inventory Controller,VZIINV01,HELD,2026-06-28,Held pending further consumption evidence.
APR-000025,REC-000033,Plant Head,VZIINV01,APPROVED,2026-08-30,Approved; to be applied in SAP by VZI.
APR-000026,REC-000034,Commercial Head,VZIINV02,APPROVED,2026-05-26,Approved; to be applied in SAP by VZI.
APR-000027,REC-000035,Inventory Controller,VZIINV02,APPROVED,2026-08-20,Approved; to be applied in SAP by VZI.
APR-000028,REC-000036,Inventory Controller,VZIINV02,APPROVED,2026-07-04,Approved; to be applied in SAP by VZI.
APR-000029,REC-000037,Inventory Controller,VZIINV01,HELD,2026-08-07,Held pending further consumption evidence.
APR-000030,REC-000039,Engineering Head,VZIINV01,REJECTED,2026-09-05,Consumption not considered representative.
APR-000031,REC-000040,Engineering Head,VZIINV01,HELD,2026-05-31,Held pending further consumption evidence.
APR-000032,REC-000041,Commercial Head,VZIINV01,HELD,2026-08-26,Held pending further consumption evidence.
APR-000033,REC-000042,Commercial Head,VZIINV01,APPROVED,2026-07-04,Approved; to be applied in SAP by VZI.
APR-000034,REC-000043,Engineering Head,VZIINV02,APPROVED,2026-06-17,Approved; to be applied in SAP by VZI.
APR-000035,REC-000044,Engineering Head,VZIINV02,HELD,2026-05-30,Held pending further consumption evidence.
APR-000036,REC-000045,Plant Head,VZIINV02,APPROVED,2026-09-03,Approved; to be applied in SAP by VZI.
APR-000037,REC-000046,Commercial Head,VZIINV02,APPROVED,2026-08-19,Approved; to be applied in SAP by VZI.
APR-000038,REC-000048,Inventory Controller,VZIINV01,APPROVED,2026-08-19,Approved; to be applied in SAP by VZI.
APR-000039,REC-000049,Inventory Controller,VZIINV02,APPROVED,2026-05-25,Approved; to be applied in SAP by VZI.
APR-000040,REC-000051,Inventory Controller,VZIINV02,APPROVED,2026-07-21,Approved; to be applied in SAP by VZI.
APR-000041,REC-000052,Inventory Controller,VZIINV02,APPROVED,2026-07-12,Approved; to be applied in SAP by VZI.
APR-000042,REC-000054,Engineering Head,VZIINV01,REJECTED,2026-07-29,Consumption not considered representative.
APR-000043,REC-000055,Plant Head,VZIINV02,APPROVED,2026-06-29,Approved; to be applied in SAP by VZI.
APR-000044,REC-000056,Plant Head,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000045,REC-000057,Inventory Controller,VZIINV02,APPROVED,2026-07-22,Approved; to be applied in SAP by VZI.
APR-000046,REC-000058,Engineering Head,VZIINV01,APPROVED,2026-06-26,Approved; to be applied in SAP by VZI.
APR-000047,REC-000061,Plant Head,VZIINV01,APPROVED,2026-07-13,Approved; to be applied in SAP by VZI.
APR-000048,REC-000063,Inventory Controller,VZIINV02,APPROVED,2026-06-15,Approved; to be applied in SAP by VZI.
APR-000049,REC-000065,Engineering Head,VZIINV02,APPROVED,2026-07-18,Approved; to be applied in SAP by VZI.
APR-000050,REC-000066,Engineering Head,VZIINV01,REJECTED,2026-08-17,Consumption not considered representative.
APR-000051,REC-000067,Plant Head,VZIINV01,APPROVED,2026-07-18,Approved; to be applied in SAP by VZI.
APR-000052,REC-000069,Engineering Head,VZIINV02,APPROVED,2026-05-16,Approved; to be applied in SAP by VZI.
APR-000053,REC-000070,Engineering Head,VZIINV01,HELD,2026-08-02,Held pending further consumption evidence.
APR-000054,REC-000073,Plant Head,VZIINV01,REJECTED,2026-08-20,Consumption not considered representative.
APR-000055,REC-000075,Commercial Head,VZIINV02,REJECTED,2026-08-29,Consumption not considered representative.
APR-000056,REC-000077,Inventory Controller,VZIINV02,HELD,2026-09-07,Held pending further consumption evidence.
APR-000057,REC-000078,Inventory Controller,VZIINV02,APPROVED,2026-08-25,Approved; to be applied in SAP by VZI.
APR-000058,REC-000079,Inventory Controller,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000059,REC-000080,Commercial Head,VZIINV02,APPROVED,2026-08-23,Approved; to be applied in SAP by VZI.
APR-000060,REC-000082,Inventory Controller,VZIINV01,APPROVED,2026-07-01,Approved; to be applied in SAP by VZI.
APR-000061,REC-000083,Engineering Head,VZIINV02,REJECTED,2026-07-01,Consumption not considered representative.
APR-000062,REC-000085,Engineering Head,VZIINV01,HELD,2026-07-08,Held pending further consumption evidence.
APR-000063,REC-000086,Engineering Head,VZIINV01,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000064,REC-000087,Inventory Controller,VZIINV01,REJECTED,2026-08-01,Consumption not considered representative.
APR-000065,REC-000088,Plant Head,VZIINV01,APPROVED,2026-07-05,Approved; to be applied in SAP by VZI.
APR-000066,REC-000089,Engineering Head,VZIINV02,APPROVED,2026-06-23,Approved; to be applied in SAP by VZI.
APR-000067,REC-000091,Engineering Head,VZIINV02,HELD,2026-08-04,Held pending further consumption evidence.
APR-000068,REC-000095,Engineering Head,VZIINV02,APPROVED,2026-08-28,Approved; to be applied in SAP by VZI.
APR-000069,REC-000097,Plant Head,VZIINV01,HELD,2026-06-16,Held pending further consumption evidence.
APR-000070,REC-000102,Plant Head,VZIINV02,REJECTED,2026-08-17,Consumption not considered representative.
APR-000071,REC-000103,Plant Head,VZIINV01,APPROVED,2026-09-06,Approved; to be applied in SAP by VZI.
APR-000072,REC-000105,Inventory Controller,VZIINV02,APPROVED,2026-08-10,Approved; to be applied in SAP by VZI.
APR-000073,REC-000106,Engineering Head,VZIINV02,APPROVED,2026-06-13,Approved; to be applied in SAP by VZI.
APR-000074,REC-000107,Engineering Head,VZIINV01,APPROVED,2026-06-09,Approved; to be applied in SAP by VZI.
APR-000075,REC-000108,Inventory Controller,VZIINV02,REJECTED,2026-06-01,Consumption not considered representative.
APR-000076,REC-000110,Engineering Head,VZIINV01,REJECTED,2026-07-23,Consumption not considered representative.
APR-000077,REC-000112,Engineering Head,VZIINV01,REJECTED,2026-06-03,Consumption not considered representative.
APR-000078,REC-000114,Engineering Head,VZIINV02,HELD,2026-05-21,Held pending further consumption evidence.
APR-000079,REC-000115,Engineering Head,VZIINV02,APPROVED,2026-07-12,Approved; to be applied in SAP by VZI.
APR-000080,REC-000116,Engineering Head,VZIINV02,APPROVED,2026-09-04,Approved; to be applied in SAP by VZI.
APR-000081,REC-000118,Commercial Head,VZIINV01,APPROVED,2026-06-20,Approved; to be applied in SAP by VZI.
APR-000082,REC-000119,Inventory Controller,VZIINV01,REJECTED,2026-06-24,Consumption not considered representative.
